19:23:02.667 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [5] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 142 bcsz
19:23:02.669 0x1aa00           j9jit.15       - MTH_S: 00000000000F9548 00007F1D70210640 0000000000000000 [1] java.io.File.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 121 bcsz
19:23:02.670 0x1aa00           j9jit.16       - MTH_C: 00000000000F4300 00007F1D70205AB2 0000000000000000 [2] jdk.internal.loader.URLClassPath.<init> (Bytecode PC: 62) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 210 bcsz
19:23:02.670 0x1aa00           j9jit.16       - MTH_C: 00000000000EDFB0 00007F1D7013CF13 0000000000000000 [3] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 99) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 118 bcsz
19:23:02.670 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F1D701431BD 0000000000000000 [4] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 87 bcsz
19:23:02.670 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E6CB 0000000000000000 [5] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 200 bcsz
19:23:02.670 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [6] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 142 bcsz
19:23:02.674 0x1aa00           j9jit.15       - MTH_S: 0000000000107518 00007F1D70226380 0000000000000000 [1] jdk.internal.util.Preconditions.checkIndex (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 18 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 000000000005DC90 00007F1D7012E9A3 0000000000000000 [2] java.util.Objects.checkIndex (Bytecode PC: 3) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 7 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 00000000000F74F0 00007F1D7020C335 0000000000000000 [3] java.util.ArrayList.get (Bytecode PC: 5) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 15 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 00000000000F4300 00007F1D70205B20 0000000000000000 [4] jdk.internal.loader.URLClassPath.<init> (Bytecode PC: 172) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 210 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 00000000000EDFB0 00007F1D7013CF13 0000000000000000 [5] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 99) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 118 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F1D701431BD 0000000000000000 [6] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 87 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E6CB 0000000000000000 [7] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 200 bcsz
19:23:02.674 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [8] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 142 bcsz
19:23:02.676 0x1aa00           j9jit.15       - MTH_S: 0000000000051F48 00007F1D7011ECC4 0000000000000000 [1] com.ibm.jit.JITHelpers.getByteFromArrayByIndex (Bytecode PC: 0) invokeCountDown: 4294967293, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 100 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 000000000004E6F8 00007F1D500307C6 0000000000000000 [2] java.lang.String.compressedArrayCopy (Bytecode PC: 78) invokeCountDown: 979, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 91 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 000000000004E488 00007F1D500302B0 0000000000000000 [3] java.lang.String.getBytes (Bytecode PC: 40) invokeCountDown: 1985, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 74 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 00000000000C6BD0 00007F1D701D6EB9 0000000000000000 [4] java.lang.AbstractStringBuilder.putStringAt (Bytecode PC: 25) invokeCountDown: 1985, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 29 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 00000000000C62A0 00007F1D701D5DFA 0000000000000000 [5] java.lang.AbstractStringBuilder.append (Bytecode PC: 30) invokeCountDown: 1985, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 45 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 00000000000C7EB0 00007F1D701D317E 0000000000000000 [6] java.lang.StringBuilder.append (Bytecode PC: 2) invokeCountDown: 1985, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 8 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 000000000010B908 00007F1D7022B839 0000000000000000 [7] jdk.internal.module.ModuleBootstrap.addModules (Bytecode PC: 13) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 130 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 000000000010B7E8 00007F1D7022AC4F 0000000000000000 [8] jdk.internal.module.ModuleBootstrap.boot (Bytecode PC: 31) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 82 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F1D70143238 0000000000000000 [9] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 220) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 87 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E6CB 0000000000000000 [10] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 200 bcsz
19:23:02.676 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [11] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 142 bcsz
19:23:02.678 0x1aa00           j9jit.15       - MTH_S: 000000000006B2F8 00007F1D7014434C 0000000000000000 [1] java.lang.ClassLoader.loadClass (Bytecode PC: 0) invokeCountDown: 1947, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 43 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 00000000000B50D8 0000000000000003 0000000000000000 [2] java.lang.VMAccess.findClassOrNull (Native Method) 4 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 000000000006B2F8 00007F1D7014435D 0000000000000000 [3] java.lang.ClassLoader.loadClass (Bytecode PC: 17) invokeCountDown: 1947, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 43 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 0000000000113A20 00007F1D7023BC80 0000000000000000 [4] jdk.internal.module.SystemModulesMap.defaultSystemModules (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 8 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 0000000000110B30 00007F1D702367BE 0000000000000000 [5] jdk.internal.module.SystemModuleFinders.systemModules (Bytecode PC: 10) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 92 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 000000000010B7E8 00007F1D7022ACF4 0000000000000000 [6] jdk.internal.module.ModuleBootstrap.boot (Bytecode PC: 196) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 82 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F1D70143238 0000000000000000 [7] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 220) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 87 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E6CB 0000000000000000 [8] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 200 bcsz
19:23:02.678 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [9] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 142 bcsz
19:23:02.680 0x1aa00           j9jit.15       - MTH_S: 00000000000A0C50 00007F1D7018A650 0000000000000000 [1] java.util.Set.of (Bytecode PC: 0) invokeCountDown: 1997, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 39 bcsz
19:23:02.680 0x1aa00           j9jit.16       - MTH_C: 00000000001192A0 00007F1D70259669 0000000000000000 [2] jdk.internal.module.SystemModules$default.moduleDescriptors (Bytecode PC: 1773) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 178 bcsz
19:23:02.680 0x1aa00           j9jit.16       - MTH_C: 0000000000110B60 00007F1D70236887 0000000000000000 [3] jdk.internal.module.SystemModuleFinders.of (Bytecode PC: 3) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 142 bcsz
19:23:02.680 0x1aa00           j9jit.16       - MTH_C: 000000000010B7E8 00007F1D7022AD23 0000000000000000 [4] jdk.internal.module.ModuleBootstrap.boot (Bytecode PC: 243) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 82 bcsz
19:23:02.680 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F1D70143238 0000000000000000 [5] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 220) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 87 bcsz
19:23:02.680 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E6CB 0000000000000000 [6] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 200 bcsz
19:23:02.680 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [7] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 142 bcsz
19:23:02.682 0x1aa00           j9jit.15       - MTH_S: 00000000001115F8 00007F1D7026CD94 0000000000000000 [1] jdk.internal.module.Builder.newExports (Bytecode PC: 0) invokeCountDown: 1921, startSampleCount: 0, gblSampleCount: 17, cpu: 0.0%, 11 bcsz
