19:23:03.078 0x1aa00           j9jit.16       - MTH_C: 00000000000639F8 00007F9B14138BCF 0000000000000000 [7] java.lang.System.createConsole (Bytecode PC: 35) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 39 bcsz
19:23:03.078 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F9B14138D56 0000000000000000 [8] java.lang.System.afterClinitInitialization (Bytecode PC: 210) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 227 bcsz
19:23:03.078 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E653 0000000000000000 [9] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 200 bcsz
19:23:03.078 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [10] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 142 bcsz
19:23:03.080 0x1aa00           j9jit.15       - MTH_S: 00000000000B8998 00007F9B141B2E0C 0000000000000000 [1] jdk.internal.misc.SharedSecrets.setJavaSecurityAccess (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 5 bcsz
19:23:03.080 0x1aa00           j9jit.16       - MTH_C: 00000000000EDED0 00007F9B141FE7C4 0000000000000000 [2] java.security.ProtectionDomain.<clinit> (Bytecode PC: 20) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 24 bcsz
19:23:03.080 0x1aa00           j9jit.16       - MTH_C: 0000000000044DA0 0000000000000003 0000000000000000 [3] java.lang.Class.forNameImpl (Native Method) 5 bcsz
19:23:03.080 0x1aa00           j9jit.16       - MTH_C: 0000000000044C80 00007F9AF14F62E2 0000000000000000 [4] java.lang.Class.forName (Bytecode PC: 22) invokeCountDown: 1996, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 66 bcsz
19:23:03.080 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F9B141431B5 0000000000000000 [5] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 89) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 87 bcsz
19:23:03.080 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E6CB 0000000000000000 [6] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 200 bcsz
