19:22:38.057 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [5] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 142 bcsz
19:22:38.059 0x1aa00           j9jit.15       - MTH_S: 00000000000F4B08 00007F6C642075B8 0000000000000000 [1] java.util.ImmutableCollections$Set12.<init> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 18 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 00000000000A0B60 00007F6C6418A51D 0000000000000000 [2] java.util.Set.of (Bytecode PC: 5) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 9 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 000000000009DAD0 00007F6C641846D6 0000000000000000 [3] java.lang.Module.<clinit> (Bytecode PC: 30) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 57 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 000000000006ACF8 00007F6C64143502 0000000000000000 [4] java.lang.ClassLoader.<init> (Bytecode PC: 186) invokeCountDown: 1998, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 213 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 000000000006ACC8 00007F6C6414341E 0000000000000000 [5] java.lang.ClassLoader.<init> (Bytecode PC: 6) invokeCountDown: 1998, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 10 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 00000000000EFDE0 00007F6C64206327 0000000000000000 [6] java.security.SecureClassLoader.<init> (Bytecode PC: 3) invokeCountDown: 1998, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 37 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 00000000000F1110 00007F6C64201F32 0000000000000000 [7] jdk.internal.loader.BuiltinClassLoader.<init> (Bytecode PC: 18) invokeCountDown: 1998, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 54 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 00000000000ECD80 00007F6C64207225 0000000000000000 [8] jdk.internal.loader.ClassLoaders$PlatformClassLoader.<init> (Bytecode PC: 5) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 9 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 00000000000EF5B0 00007F6C6420058D 0000000000000000 [9] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 53) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 118 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F6C641431BD 0000000000000000 [10] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 87 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E6CB 0000000000000000 [11] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 200 bcsz
19:22:38.059 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [12] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 142 bcsz
19:22:38.061 0x1aa00           j9jit.15       - MTH_S: 0000000000073818 00007F6C64150954 0000000000000000 [1] java.lang.Boolean.parseBoolean (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 7 bcsz
